x;y;z;phenomenonTimeUTC;thingTitle;sensorType;resultTimeUTC;illumination;motion
13.0386435;47.823398;426;2019-01-24T15:30:00Z;Illumination/Motion 0009156993C2DC;illumination;2019-01-24T15:30:00Z;81.5;1
13.06269797;47.88023287;575;2019-01-24T15:30:00Z;Illumination/Motion 0009156993BB47;illumination;2019-01-24T15:30:00Z;45.4;1
13.03956101;47.82357507;419;2019-01-24T15:30:00Z;Illumination/Motion 0009156993BD02;illumination;2019-01-24T15:30:00Z;4.4;0
13.0397102;47.82365144;418.9;2019-01-24T15:30:01Z;Illumination/Motion 0009156993BB80;illumination;2019-01-24T15:30:01Z;44.6;1
