station_id;observation_time;latitude;longitude;elevation;temperature;dewpoint;winddirection;windspeed;visibility in km
EDDM;2019-04-23T14:20:00Z;48.35;11.82;447;20;6;100;27.78;9.99189
EHAM;2019-04-23T14:25:00Z;52.32;4.78;9;21;7;100;29.632;9.99189
UMKK;2019-04-23T14:30:00Z;54.88;20.6;21;20;-3;120;31.484;9.99189
