stationId;observationTime;latitude;longitude;elevation;temp;dewpoint;windDirection;windSpeed_kmh;visibility;altim;flightCategory;metarType
LFBA;2020-05-14T21:30:00Z;44.17;0.6;60;14;13;280;3.704;6.21;29.763779;VFR;METAR
LEBA;2020-05-14T21:30:00Z;37.85;-4.82;92;13;11;10;1.852;6.21;29.852362;VFR;METAR
LETL;2020-05-14T21:30:00Z;40.42;-1.22;1013;9;8;20;5.556;6.21;29.852362;VFR;METAR
LSGG;2020-05-14T21:50:00Z;46.25;6.12;416;11;7;30;14.816;6.21;29.822834;MVFR;METAR
LSGG;2020-05-14T22:50:00Z;46.25;6.12;416;11;7;20;11.112;6.21;29.793306;MVFR;METAR
